municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,data_completeness,rank
APARECIDA DO TABOADO,MS,-10.043645555,-25.649505115,Biometano,0.1626,0.2613,0.1937,0.0,0.625,1
SAO JOSE DO PEIXE,PI,-7.34764579875,-42.78524457625,Biometano,0.162,0.3243,0.1076,0.0,0.625,1
RIO BRILHANTE,MS,-21.63630415888889,-54.19428106,Biometano,0.1619,0.2613,0.1913,0.0,0.625,1
NOVA ANDRADINA,MS,-22.0774472075,-53.405687725,Eolica,0.1618,0.1008,0.1556,0.2495,0.875,1
NOVA OLIMPIA,MT,-14.75879801,-57.19577445,Eolica,0.1616,0.0643,0.1202,0.3327,0.875,1
CORUMBA DE GOIAS,GO,-15.802333335,-48.664541665,Biometano,0.1616,0.2973,0.1421,0.0,0.625,1
NOVA OLIMPIA,MT,-14.75879801,-57.19577445,Solar,0.1616,0.0643,0.1202,0.3327,0.875,1
SAO PEDRO DA ALDEIA,RJ,-22.801407830000002,-42.1257720825,H2 Verde,0.1614,0.1104,0.1843,0.2064,0.875,1
MACAE,RJ,-19.148754590000003,-35.84595572571429,H2 Verde,0.1613,0.179,0.1958,0.1032,1.0,1
SANTO ANTONIO DA BARRA,GO,-17.61775002,-50.71438891,Eolica,0.1609,0.0997,0.1279,0.2756,0.875,1
SANTO ANTONIO DA BARRA,GO,-17.61775002,-50.71438891,Solar,0.1609,0.0997,0.1279,0.2756,0.875,1
SORRISO,MT,-12.49246334,-55.83030016666667,Solar,0.1609,0.069,0.278,0.1664,1.0,1
SIDROLANDIA,MS,-20.89694444,-54.90166667,Solar,0.1608,0.0887,0.1683,0.2495,0.875,1
ALTO GARCAS,MT,-16.799708324999997,-53.585405030000004,Solar,0.1608,0.1291,0.1976,0.1663,1.0,1
SIDROLANDIA,MS,-20.89694444,-54.90166667,Eolica,0.1608,0.0887,0.1683,0.2495,0.875,1
ARARUAMA,RJ,-22.650740736666666,-42.23416666333333,H2 Verde,0.1604,0.1106,0.1809,0.2064,0.875,1
CAMPOS DOS GOYTACAZES,RJ,-21.727614198571427,-41.33299136857143,H2 Verde,0.1603,0.1118,0.1789,0.2064,0.875,1
PORTO ESPERIDIAO,MT,-15.85961129,-58.468715865,Solar,0.1602,0.0631,0.1174,0.3327,0.875,1
PORTO ESPERIDIAO,MT,-15.85961129,-58.468715865,Eolica,0.1602,0.0631,0.1174,0.3327,0.875,1
SAO SIMAO,GO,-18.98179722,-50.610172225,Biometano,0.16,0.2973,0.1369,0.0,0.625,1
NITEROI,RJ,-22.8896715575,-43.111586185,H2 Verde,0.1598,0.1104,0.1791,0.2064,0.875,1
PONTA PORA,MS,-22.4272244575,-55.435169665000004,Biometano,0.1597,0.2613,0.1839,0.0001,0.625,1
BALSAS,MA,-7.993787005,-46.483942725000006,H2 Verde,0.1591,0.0845,0.1933,0.2244,0.875,1
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,Biometano,0.1581,0.2973,0.1305,0.0,0.625,1
NAVIRAI,MS,-23.12600967,-54.19243455,Solar,0.158,0.0874,0.1607,0.2495,0.875,1
NAVIRAI,MS,-23.12600967,-54.19243455,Eolica,0.158,0.0874,0.1607,0.2495,0.875,1
ITAGUAI,RJ,-22.433185415,-43.837660695,H2 Verde,0.1579,0.1271,0.1505,0.2064,0.875,1
PRIMAVERA DO LESTE,MT,-12.766382293333335,-45.17408491166666,Solar,0.1578,0.0671,0.2702,0.1663,1.0,1
ITARUMA,GO,-18.54383611,-51.541590740000004,Biometano,0.1576,0.2973,0.1289,0.0,0.625,1
FATIMA DO SUL,MS,-22.336396225,-54.52739169,Eolica,0.1573,0.0873,0.1585,0.2495,0.875,1
FATIMA DO SUL,MS,-22.336396225,-54.52739169,Solar,0.1573,0.0873,0.1585,0.2495,0.875,1
IPOJUCA,PE,-6.994769701666667,-29.185220208333334,Biometano,0.1569,0.2432,0.1985,0.0,0.625,1
VICENTINA,MS,-22.44805556,-54.442125,Solar,0.1559,0.0871,0.1539,0.2495,0.875,1
VICENTINA,MS,-22.44805556,-54.442125,Eolica,0.1559,0.0871,0.1539,0.2495,0.875,1
RECIFE,PE,-6.669326733043477,-28.834010277826085,Biometano,0.1553,0.2432,0.1931,0.0002,0.625,1
RIBAS DO RIO PARDO,MS,-20.789033335,-53.54167986,Biometano,0.1545,0.2613,0.164,0.0027,0.625,1
TURVANIA,GO,-16.5309715275,-50.17774756875,Biometano,0.1543,0.2973,0.1179,0.0,0.625,1
VOLTA REDONDA,RJ,-22.5185763625,-44.10525686,H2 Verde,0.1542,0.1162,0.1527,0.2064,0.875,1
DAVINOPOLIS,GO,-18.13250278,-47.63995278,Biometano,0.1541,0.2973,0.1172,0.0,0.625,1
BAIA FORMOSA,RN,-6.41613439,-35.0557286,H2 Verde,0.1539,0.0736,0.1445,0.2705,0.875,1
ARES,RN,-6.22663966,-35.19802455,H2 Verde,0.1535,0.073,0.1438,0.2705,0.875,1
BELFORD ROXO,RJ,-22.76083577,-43.38234967,H2 Verde,0.1527,0.1103,0.1555,0.2064,0.875,1
FERNANDO DE NORONHA,PE,-3.84993525,-32.41720121,Biometano,0.1527,0.2432,0.1847,,0.5,1
FIRMINOPOLIS,GO,-16.6048541625,-50.324849305,Biometano,0.152,0.2973,0.1104,0.0,0.625,1
PAULISTA,PE,-7.940794163333333,-34.871060226666664,Biometano,0.152,0.2432,0.1824,,0.5,1
ITABORAI,RJ,-22.64535556,-42.860825,H2 Verde,0.1518,0.1103,0.1527,0.2064,0.875,1
IGARASSU,PE,-7.851015752,-34.990346596,Solar,0.1512,0.0968,0.1726,0.2024,0.875,1
IGARASSU,PE,-7.851015752,-34.990346596,Eolica,0.1512,0.0968,0.1726,0.2024,0.875,1
JOAQUIM NABUCO,PE,-8.53797761,-35.51180283,Solar,0.1511,0.2309,0.0942,0.1015,1.0,1
ITAPISSUMA,PE,-7.794343,-34.91664566,Biometano,0.1508,0.2432,0.1783,,0.5,1
QUEIMADOS,RJ,-22.74119144,-43.62056431,H2 Verde,0.1502,0.1103,0.1471,0.2064,0.875,1
MACUCO,RJ,-21.98548189,-42.23817344,H2 Verde,0.1493,0.1103,0.1441,0.2064,0.875,1
SILVES,AM,-2.76409944,-58.188875628000005,Eolica,0.1493,0.0901,0.2183,0.1593,0.875,1
CABO DE SANTO AGOSTINHO,PE,-7.546784590000001,-31.84028068909091,Biometano,0.149,0.2432,0.172,0.0003,0.625,1
SAO GONCALO,RJ,-22.834687166000002,-43.038922556,H2 Verde,0.149,0.1107,0.1427,0.2064,0.875,1
TAMANDARE,PE,-8.76422222,-35.31622222,Biometano,0.1485,0.2432,0.1707,,0.5,1
TANGUA,RJ,-22.74666667,-42.78222222,H2 Verde,0.148,0.1103,0.1399,0.2064,0.875,1
PARANAIBA,MS,-19.687802147692306,-51.420568485,Biometano,0.1476,0.2613,0.1435,0.0,0.625,1
NIQUELANDIA,GO,-14.702358125,-48.6686092075,Biometano,0.1458,0.2973,0.0898,0.0,0.625,1
IGUATEMI,MS,-23.16267633,-54.38453455,Solar,0.1453,0.0872,0.1186,0.2495,0.875,1
IGUATEMI,MS,-23.16267633,-54.38453455,Eolica,0.1453,0.0872,0.1186,0.2495,0.875,1
MIRANDA DO NORTE,MA,-3.5661887,-44.55871817,H2 Verde,0.1443,0.0935,0.1319,0.2244,0.875,1
RIACHO DAS ALMAS,PE,-8.14576111,-35.88139722,Biometano,0.1442,0.2432,0.1565,0.0,0.625,1
VITORIA DE SANTO ANTAO,PE,-8.158044635,-35.288642242499996,Biometano,0.1437,0.2432,0.1546,0.0,0.625,1
CARPINA,PE,-7.81867745,-35.30713881,Biometano,0.1436,0.2432,0.1545,,0.5,1
ABREU E LIMA,PE,-7.92252632,-34.89984764,Biometano,0.1426,0.2432,0.1511,0.0,0.625,1
SAO MAMEDE,PB,-6.9460959835416665,-37.035767365625,Eolica,0.1414,0.2204,0.1279,0.0496,1.0,1
CORUMBA,MS,-18.657075104235336,-56.71244099002793,Biometano,0.1412,0.2613,0.1221,0.0003,0.625,1
NATAL,RN,-5.819158687647058,-35.22628891764706,H2 Verde,0.141,0.1375,0.1513,0.1354,1.0,1
FLORESTA,PE,-8.705344445833333,-38.54424513916667,Biometano,0.1409,0.2432,0.1452,0.0,0.625,1
PRIMAVERA,PE,-8.351384645,-35.37537108,Biometano,0.1409,0.2432,0.1453,0.0001,0.625,1
CODO,MA,-4.45133806,-43.88608,H2 Verde,0.1406,0.0838,0.1325,0.2244,0.875,1
BREJAO,PE,-9.697037036666666,-40.465648146666666,Biometano,0.1405,0.2432,0.1439,0.0,0.625,1
ALDEIAS ALTAS,MA,-4.62388889,-43.61416667,H2 Verde,0.1401,0.0839,0.1306,0.2244,0.875,1
BUIQUE,PE,-8.637471130833333,-37.23066325083334,Biometano,0.1389,0.2432,0.1386,0.0,0.625,1
DUQUE DE CAXIAS,RJ,-19.49775914,-37.10447527142857,H2 Verde,0.1386,0.1421,0.1692,0.1033,1.0,1
RIO FORMOSO,PE,-8.645131495000001,-35.240033940000004,Solar,0.1384,0.1861,0.1119,0.1015,1.0,1
ALTO ARAGUAIA,MT,-17.130029773333334,-53.28131763,Solar,0.1382,0.099,0.1621,0.1665,1.0,1
BOA VISTA DO RAMOS,AM,-2.96537386,-57.5863244,H2 Verde,0.1376,0.0312,0.2577,0.1593,0.875,1
PORTO REAL,RJ,-11.20986111,-22.14513889,Biometano,0.1368,0.1982,0.1917,0.0,0.625,1
CAMUTANGA,PE,-7.41761966,-35.24413455,Biometano,0.1344,0.2432,0.1238,,0.5,1
BARRA DOS COQUEIROS,SE,-10.812806890000001,-36.93316129,Solar,0.1337,0.0673,0.2708,0.0852,1.0,1
SIRINHAEM,PE,-8.61222188,-35.15699841,Biometano,0.1336,0.2432,0.1205,0.0004,0.625,1
COELHO NETO,MA,-4.28624954,-42.98831793,H2 Verde,0.1335,0.0838,0.1089,0.2244,0.875,1
PALMARES,PE,-8.6925,-35.60583333,Biometano,0.1323,0.2432,0.1168,,0.5,1
MANAUS,AM,-2.7045509128,-57.597531253999996,H2 Verde,0.1321,0.0665,0.2717,0.0797,1.0,1
MACAIBA,RN,-3.9179769833333333,-23.537009503333334,Biometano,0.131,0.1892,0.1843,0.0001,0.625,1
NOVA IGUACU,RJ,-22.711240833333335,-43.46368836,H2 Verde,0.1303,0.1231,0.167,0.1032,1.0,1
PUREZA,RN,-5.353275795,-35.61593370111111,Eolica,0.1302,0.101,0.164,0.1353,1.0,1
AFRANIO,PI,-8.53761,-41.14887436,Biometano,0.1297,0.3243,,0.0,0.25,1
SAO LUIS,MA,-2.6832083577777777,-44.243062967777774,H2 Verde,0.1288,0.0978,0.1865,0.1123,1.0,1
JUTAI,AM,-2.74222222,-66.76833333,H2 Verde,0.1276,0.0312,0.2245,0.1593,0.875,1
TIMBAUBA,PE,-2.5169444433333332,-11.75851852,Biometano,0.1272,0.2432,0.0997,0.0001,0.625,1
VICENCIA,PE,-7.65666667,-35.36083333,Biometano,0.127,0.2432,0.099,,0.5,1
SAO GABRIEL DA CACHOEIRA,AM,0.13415074999999999,-67.024100034,H2 Verde,0.1261,0.0314,0.2192,0.1593,0.875,1
BARAUNA,RN,-4.957271295555556,-37.60785925777778,Eolica,0.126,0.0895,0.1654,0.1353,1.0,1
ITAMARATI,AM,-6.43944444,-68.24611111,H2 Verde,0.1252,0.0311,0.2167,0.1593,0.875,1
AMARAJI,PE,-8.38972222,-35.445,Biometano,0.1246,0.2432,0.091,0.0,0.625,1
URUCURITUBA,AM,-2.9454784050000002,-57.95846412,H2 Verde,0.1243,0.0312,0.2134,0.1593,0.875,1
IMPERATRIZ,MA,-5.492248356666667,-47.484965718333335,Biometano,0.124,0.1802,0.1729,0.0001,0.625,1
TERESOPOLIS,RJ,-22.317747575,-42.803842165000006,Biometano,0.1231,0.1982,0.146,0.0,0.625,1
HUMAITA,AM,-6.86847616,-62.433013294999995,H2 Verde,0.1224,0.0316,0.2064,0.1593,0.875,1
SAO JOAO DE MERITI,RJ,-22.779241650000003,-43.34195138,Biometano,0.1223,0.1982,0.1433,0.0,0.625,1
TABATINGA,AM,-4.200429625,-69.8356690175,H2 Verde,0.121,0.0316,0.202,0.1593,0.875,1
MACEIO,AL,-9.027571123529412,-33.63593758647059,Solar,0.1207,0.1336,0.1818,0.0423,1.0,1
SANTA CRUZ,RN,-6.06513333,-36.01942229,Biometano,0.1203,0.1892,0.1489,0.0,0.625,1
CARNAUBAIS,RN,-5.30558534,-37.0233854175,Biometano,0.1186,0.1892,0.143,0.0,0.625,1
ALTO DO RODRIGUES,RN,-5.38054153,-36.819848605000004,Biometano,0.118,0.1892,0.1411,0.0001,0.625,1
ITAPIRANGA,AM,-2.74968043,-58.02233714,H2 Verde,0.1178,0.0311,0.1919,0.1593,0.875,1
CANUTAMA,AM,-6.387387465,-64.315862665,H2 Verde,0.1175,0.0312,0.1909,0.1593,0.875,1
CARAUBAS,RN,-5.736908333333333,-37.47251388666667,Biometano,0.1175,0.1892,0.1394,0.0,0.625,1
CAAPIRANGA,AM,-3.3480201566666667,-61.26273282333333,H2 Verde,0.1172,0.0312,0.1899,0.1593,0.875,1
ACAILANDIA,MA,-3.670747985,-35.558400954999996,H2 Verde,0.1167,0.097,0.1475,0.1122,1.0,1
ROLIM DE MOURA,RO,-11.72357364,-61.74882503,H2 Verde,0.1164,0.0645,0.1667,0.1353,0.875,1
UARINI,AM,-2.98611111,-65.15777778,H2 Verde,0.1164,0.0311,0.1872,0.1593,0.875,1
LABREA,AM,-7.28121389,-64.77726944,H2 Verde,0.1163,0.0316,0.1864,0.1593,0.875,1
TEFE,AM,-3.4098797383333337,-64.65055325833333,H2 Verde,0.1163,0.0319,0.1859,0.1593,0.875,1
MANACAPURU,AM,-3.3968107025,-60.931370827500004,H2 Verde,0.1162,0.0312,0.1866,0.1593,0.875,1
JOAO PESSOA,PB,-6.568007315,-31.967332797500003,Biometano,0.116,0.1351,0.2062,0.0003,0.625,1
CAXIAS,MA,-4.77367443,-43.660467954,Biometano,0.1154,0.1802,0.1444,0.0,0.625,1
PORTO NACIONAL,TO,-10.60711019,-48.37341185,Eolica,0.1132,0.0364,0.2097,0.1192,0.875,1
PORTO NACIONAL,TO,-10.60711019,-48.37341185,Solar,0.1132,0.0364,0.2097,0.1192,0.875,1
BOCA DO ACRE,AM,-8.76931107,-67.32919716,H2 Verde,0.113,0.0315,0.1754,0.1593,0.875,1
COLORADO DO OESTE,RO,-13.1196364175,-60.6096109725,H2 Verde,0.113,0.1609,0.0941,0.0678,1.0,1
MANICORE,AM,-5.886132551666666,-61.38540220666667,H2 Verde,0.1128,0.0322,0.1738,0.1593,0.875,1
SANTO ANTONIO DO ICA,AM,-3.0422431175,-68.6769582175,H2 Verde,0.1125,0.0312,0.1741,0.1593,0.875,1
VALE DE SAO DOMINGOS,MT,-14.89435389,-58.87204871,Biometano,0.1125,0.1892,0.1229,0.0,0.625,1
APUI,AM,-7.068647406666667,-59.607532219999996,H2 Verde,0.1121,0.0312,0.1727,0.1593,0.875,1
NOSSA SENHORA DO SOCORRO,SE,-10.879601222,-37.083778608,Solar,0.112,0.0122,0.1896,0.1673,0.875,1
NOSSA SENHORA DO SOCORRO,SE,-10.879601222,-37.083778608,Eolica,0.112,0.0122,0.1896,0.1673,0.875,1
AMATURA,AM,-3.36916667,-68.19111093,H2 Verde,0.1117,0.0311,0.1714,0.1593,0.875,1
BARREIRINHA,AM,-2.799945345,-57.14204437,H2 Verde,0.1114,0.0313,0.1703,0.1593,0.875,1
FONTE BOA,AM,-2.52416661,-66.03861108,H2 Verde,0.1112,0.0312,0.1698,0.1593,0.875,1
BENJAMIN CONSTANT,AM,-4.326666664999999,-69.78611111000001,H2 Verde,0.1109,0.0313,0.1686,0.1593,0.875,1
SERRA,ES,-10.602830385263157,-21.190998441578948,H2 Verde,0.1107,0.0693,0.2211,0.0555,1.0,1
TONANTINS,AM,-2.8877777,-67.79416658,H2 Verde,0.1107,0.0311,0.168,0.1593,0.875,1
ALVARAES,AM,-3.23472222,-64.78666667,H2 Verde,0.1106,0.0311,0.1679,0.1593,0.875,1
BATAIPORA,MS,-22.45413334,-53.30467222,Eolica,0.1101,0.0881,,0.2495,0.5,1
BATAIPORA,MS,-22.45413334,-53.30467222,Solar,0.1101,0.0881,,0.2495,0.5,1
CARAUARI,AM,-4.876835460000001,-66.898223535,H2 Verde,0.11,0.0313,0.1656,0.1593,0.875,1
ARACRUZ,ES,-19.84295367,-40.07470155,H2 Verde,0.1099,0.0574,0.1794,0.1102,0.875,1
NOVO ARIPUANA,AM,-5.117453815,-60.372244555,H2 Verde,0.1097,0.0315,0.1645,0.1593,0.875,1
SANTA RITA,PB,-7.0280567000000005,-35.04681338666666,Biometano,0.1091,0.1351,0.1835,,0.5,1
NHAMUNDA,AM,-2.18929485,-56.71437611,H2 Verde,0.109,0.0312,0.1623,0.1593,0.875,1
SAO FRANCISCO DO GUAPORE,RO,-12.85105927,-62.90259268,H2 Verde,0.1088,0.0645,0.1415,0.1353,0.875,1
ARAGUAINA,TO,-6.470932809,-43.394774867,Solar,0.1087,0.094,0.1773,0.0597,1.0,1
IPIXUNA,AM,-7.05472225,-71.691389,H2 Verde,0.1083,0.0311,0.1602,0.1593,0.875,1
PACARAIMA,RR,4.295089498888888,-61.01319524722222,H2 Verde,0.1082,0.0385,0.2982,0.0111,1.0,1
URUCARA,AM,-2.53472222,-57.76055556,H2 Verde,0.1081,0.0312,0.1595,0.1593,0.875,1
NOVO MUNDO,MT,-9.687177345,-55.33522424,Eolica,0.1081,0.0647,0.1076,0.1663,1.0,1
SAO SEBASTIAO DO UATUMA,AM,-2.575691285,-57.92724986,H2 Verde,0.108,0.0312,0.1592,0.1593,0.875,1
PEDRO AFONSO,TO,-9.19801513,-48.14333793,Eolica,0.1076,0.0384,0.1883,0.1192,0.875,1
PEDRO AFONSO,TO,-9.19801513,-48.14333793,Solar,0.1076,0.0384,0.1883,0.1192,0.875,1
VIANA,ES,-20.3938485,-40.454650406666666,H2 Verde,0.1072,0.0567,0.1716,0.1102,0.875,1
SAO JOAO DA BALIZA,RR,0.9349301475,-59.789238097500004,H2 Verde,0.1071,0.1041,0.2066,0.0115,1.0,1
CAMPINA GRANDE,PB,-7.31094610923077,-36.03027304153846,Biometano,0.1066,0.1351,0.1751,0.0,0.625,1
PAUINI,AM,-7.71559029,-66.99410287,H2 Verde,0.1065,0.0312,0.154,0.1593,0.875,1
ARMACAO DE BUZIOS,RJ,-22.776249999999997,-41.93083333,H2 Verde,0.106,0.1103,,0.2064,0.5,1
MEDEIROS NETO,RJ,-17.45693889,-40.14275278,H2 Verde,0.106,0.1103,,0.2064,0.5,1
ESTANCIA,SE,-5.64095322,-18.72340998,Solar,0.1058,0.0949,0.1423,0.0837,1.0,1
ANORI,AM,-3.729775725,-61.66126692500001,H2 Verde,0.1055,0.0312,0.1509,0.1593,0.875,1
SAO PAULO DE OLIVENCA,AM,-4.497841660000001,-69.45079755500001,H2 Verde,0.1053,0.0312,0.1501,0.1593,0.875,1
ENVIRA,AM,-7.44083333,-70.02972222,H2 Verde,0.1053,0.0311,0.1502,0.1593,0.875,1
PARAISO DO TOCANTINS,TO,-10.16694707,-48.87610711,Eolica,0.1046,0.036,0.1812,0.1192,0.875,1
PARAISO DO TOCANTINS,TO,-10.16694707,-48.87610711,Solar,0.1046,0.036,0.1812,0.1192,0.875,1
SIMAO DIAS,SE,-10.704670069999999,-37.81108594,Solar,0.1041,0.0121,0.1634,0.1673,0.875,1
SIMAO DIAS,SE,-10.704670069999999,-37.81108594,Eolica,0.1041,0.0121,0.1634,0.1673,0.875,1
RIO LARGO,AL,-9.489051244999999,-35.850655415,Biometano,0.1037,0.0991,0.2135,0.0001,0.625,1
GUAJARA-MIRIM,RO,-11.154773333333333,-65.19802036,H2 Verde,0.1036,0.0645,0.124,0.1353,0.875,1
VILA VELHA,ES,-17.80697303,-35.27049256125,H2 Verde,0.1035,0.077,0.1873,0.0551,1.0,1
CANINDE DE SAO FRANCISCO,SE,-9.75478287,-37.96453004666667,Eolica,0.1034,0.0755,0.1604,0.0837,1.0,1
CODAJAS,AM,-3.822916685,-62.25805556,H2 Verde,0.1027,0.0311,0.1414,0.1593,0.875,1
MARECHAL DEODORO,AL,-9.705282323333334,-35.86806835666667,Biometano,0.1025,0.0991,0.2096,,0.5,1
RESERVA DO CABACAL,MT,-14.83868888,-58.62180833,Biometano,0.1022,0.1892,0.0883,0.0,0.625,1
ATALAIA DO NORTE,AM,-4.679558146666667,-70.83424073666667,H2 Verde,0.1022,0.031,0.1401,0.1593,0.875,1
MONTE SANTO DO TOCANTINS,TO,-10.10212077,-48.92331233,Solar,0.102,0.036,0.1727,0.1192,0.875,1
MONTE SANTO DO TOCANTINS,TO,-10.10212077,-48.92331233,Eolica,0.102,0.036,0.1727,0.1192,0.875,1
PEDRAS DE FOGO,PB,-7.35327785,-35.02966974,Biometano,0.1019,0.1351,0.1593,,0.5,1
COSTA MARQUES,RO,-12.43831043,-64.22856358,H2 Verde,0.1015,0.0645,0.1172,0.1353,0.875,1
MURIBECA,SE,-10.42212528,-36.92247056,Solar,0.101,0.012,0.1533,0.1673,0.875,1
MURIBECA,SE,-10.42212528,-36.92247056,Eolica,0.101,0.012,0.1533,0.1673,0.875,1
JURUA,AM,-3.0725196,-65.869806025,H2 Verde,0.1009,0.0311,0.1357,0.1593,0.875,1
MAMANGUAPE,PB,-6.68319366,-35.14897261,Biometano,0.1004,0.1351,0.1543,,0.5,1
BERURI,AM,-4.365842043333333,-61.90183898666667,H2 Verde,0.1003,0.0316,0.2127,0.0797,1.0,1
ANAMA,AM,-3.5796249949999996,-61.405013885,H2 Verde,0.0995,0.0311,0.1308,0.1593,0.875,1
RIO PRETO DA EVA,AM,-2.69500966,-59.69053455,H2 Verde,0.0992,0.0312,0.1298,0.1593,0.875,1
MONTANHA,ES,-18.12685694,-40.36342111,H2 Verde,0.0989,0.0504,0.1522,0.1102,0.875,1
CAPELA,SE,-10.5061,-37.054833056666666,Solar,0.0988,0.0125,0.1452,0.1673,0.875,1
CAPELA,SE,-10.5061,-37.054833056666666,Eolica,0.0988,0.0125,0.1452,0.1673,0.875,1
GUARAI,TO,-8.8669492,-48.48608076,Solar,0.0984,0.036,0.1608,0.1192,0.875,1
GUARAI,TO,-8.8669492,-48.48608076,Eolica,0.0984,0.036,0.1608,0.1192,0.875,1
CAAPORA,PB,-7.50838722,-34.87588028,Biometano,0.0984,0.1351,0.1477,,0.5,1
NOSSA SENHORA DAS DORES,SE,-10.46812336,-37.18153455,Eolica,0.0979,0.0128,0.142,0.1673,0.875,1
NOSSA SENHORA DAS DORES,SE,-10.46812336,-37.18153455,Solar,0.0979,0.0128,0.142,0.1673,0.875,1
AUTAZES,AM,-3.5811796975,-59.16033976,H2 Verde,0.0979,0.0317,0.2046,0.0797,1.0,1
LINHARES,ES,-12.960658118888889,-26.654295874444443,H2 Verde,0.0978,0.0627,0.1873,0.0552,1.0,1
SAO VICENTE DO SERIDO,PB,-4.5160222,-24.278601626666667,Biometano,0.0977,0.1351,0.1454,0.0,0.625,1
NOVA MAMORE,RO,-10.426442755,-64.741896535,H2 Verde,0.0976,0.0666,0.1688,0.0676,1.0,1
BORBA,AM,-4.1647545599999996,-59.44694380000001,H2 Verde,0.0975,0.0313,0.1239,0.1593,0.875,1
ACAUA,PE,-8.51920884,-41.14185238,Biometano,0.0973,0.2432,,0.0,0.25,1
CAREIRO,AM,-3.61123714,-60.134710975000004,H2 Verde,0.0973,0.0319,0.1223,0.1593,0.875,1
LAGOA DO ITAENGA,PE,-7.8967757899999995,-35.264346384999996,Biometano,0.0973,0.2432,,,0.125,1
COARI,AM,-4.15547988,-63.14960584,H2 Verde,0.0973,0.0322,0.122,0.1593,0.875,1
POCINHOS,PB,-7.0362075125,-35.9702556075,Biometano,0.0973,0.1351,0.1442,0.0,0.625,1
JUAZEIRINHO,PB,0.0,0.0,Biometano,0.0963,0.1351,0.1408,0.0,0.625,1
MANOEL URBANO,AC,-8.87363671,-69.2806454,Eolica,0.0954,0.0061,0.2427,0.0671,0.875,1
MANOEL URBANO,AC,-8.87363671,-69.2806454,Solar,0.0954,0.0061,0.2427,0.0671,0.875,1
AMAJARI,RR,3.3009560444444443,-54.54753518333334,H2 Verde,0.095,0.0483,0.2412,0.0111,1.0,1
OIAPOQUE,AP,3.83329665,-51.83494717999999,Solar,0.0945,0.0608,0.2134,0.0207,1.0,1
GURUPI,TO,-11.773810183333334,-48.92797685,Biometano,0.0934,0.1081,0.1671,0.0,0.625,1
NOVA PALMEIRA,PB,-6.713828541,-36.394753698,Biometano,0.0931,0.1351,0.1303,0.0,0.625,1
SAO JOAO DO TIGRE,PB,-8.132431281,-36.771737958,Biometano,0.0928,0.1351,0.129,0.0,0.625,1
ITACOATIARA,AM,-2.31008411625,-44.02583642125,H2 Verde,0.0928,0.0328,0.1861,0.0797,1.0,1
MARAA,AM,-1.8289593,-65.60696942,H2 Verde,0.0923,0.0311,0.1068,0.1593,0.875,1
CONCEICAO DA BARRA,ES,-18.45735773,-39.9453552,H2 Verde,0.0922,0.0514,0.1287,0.1102,0.875,1
NOVA OLINDA DO NORTE,AM,-3.88630556,-59.07238889,H2 Verde,0.0921,0.0313,0.106,0.1593,0.875,1
JAPURA,AM,-0.9259722225,-33.398194445,H2 Verde,0.0921,0.0311,0.186,0.0797,1.0,1
SANTA ROSA DO PURUS,AC,-9.44086903,-70.48358544,Solar,0.0916,0.0061,0.23,0.0671,0.875,1
SANTA ROSA DO PURUS,AC,-9.44086903,-70.48358544,Eolica,0.0916,0.0061,0.23,0.0671,0.875,1
TOCANTINOPOLIS,TO,-6.32897182,-47.433333045,Eolica,0.0915,0.036,0.1377,0.1192,0.875,1
TOCANTINOPOLIS,TO,-6.32897182,-47.433333045,Solar,0.0915,0.036,0.1377,0.1192,0.875,1
PEDRA LAVRADA,PB,-6.757572745,-36.386360296,Biometano,0.0911,0.1351,0.1236,0.0,0.625,1
MAUES,AM,-3.424136964,-57.83968659,H2 Verde,0.0907,0.0325,0.1795,0.0797,1.0,1
ARAPIRACA,AL,-7.3232211425,-27.489258815,Biometano,0.0906,0.0991,0.1699,0.0,0.625,1
JORDAO,AC,-9.43416667,-71.88388888,Eolica,0.0899,0.0061,0.2245,0.0671,0.875,1
JORDAO,AC,-9.43416667,-71.88388888,Solar,0.0899,0.0061,0.2245,0.0671,0.875,1
MARECHAL THAUMATURGO,AC,-9.001694445,-72.51820444500001,Solar,0.0892,0.0595,0.1845,0.0336,1.0,1
NOVA OLINDA,TO,-7.633315,-48.42480694,Eolica,0.0891,0.036,0.1296,0.1192,0.875,1
NOVA OLINDA,TO,-7.633315,-48.42480694,Solar,0.0891,0.036,0.1296,0.1192,0.875,1
ARRAIAS,TO,-12.93442,-46.94610694,Eolica,0.0889,0.0363,0.1287,0.1192,0.875,1
ARRAIAS,TO,-12.93442,-46.94610694,Solar,0.0889,0.0363,0.1287,0.1192,0.875,1
BOA VISTA,RR,2.974181965882353,-60.67683633941176,H2 Verde,0.0882,0.0156,0.2511,0.022,0.875,1
UIRAMUTA,RR,4.54788865347826,-60.214430416956525,H2 Verde,0.0881,0.004,0.2663,0.022,0.875,1
LARANJEIRAS,SE,-10.76470966,-37.20453455,Eolica,0.0878,0.0125,0.1087,0.1673,0.875,1
LARANJEIRAS,SE,-10.76470966,-37.20453455,Solar,0.0878,0.0125,0.1087,0.1673,0.875,1
BAYEUX,PB,-7.14718849,-34.95042855,Biometano,0.0876,0.1351,0.112,,0.5,1
NEOPOLIS,SE,-10.31587806,-36.57671805,Eolica,0.0872,0.012,0.1072,0.1673,0.875,1
