municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,data_completeness,rank
ITAPIPOCA,CE,-3.49333314,-39.59833348,H2 Verde,0.209,0.1204,0.1726,0.3637,0.875,1
TRAJANO DE MORAIS,RJ,-22.13928551,-42.09805831,H2 Verde,0.2089,0.4442,,0.1041,0.625,1
NOVA MUTUM,MT,-13.671328553999999,-56.197281832,Solar,0.2088,0.1798,0.2893,0.167,1.0,1
MAREMA,SC,0.0,0.0,Solar,0.2087,0.1381,0.1348,0.3768,0.875,1
MAREMA,SC,0.0,0.0,Eolica,0.2087,0.1381,0.1348,0.3768,0.875,1
POXOREO,MT,-15.609960945000001,-54.39696735,Solar,0.2087,0.3967,,0.1667,0.625,1
ALTA FLORESTA D'OESTE,RO,-12.157108367272729,-62.12625106545455,H2 Verde,0.2082,0.3891,0.1057,0.0695,1.0,1
CHAPADAO DO CEU,GO,-18.430437146666666,-52.619111260000004,Biometano,0.2081,0.2973,0.2972,0.0,0.625,1
PICUI,PB,-6.022041251818181,-33.04491155181818,Solar,0.208,0.3784,0.1393,0.0496,1.0,1
CONDADO,PB,-6.91704135,-37.56017362,Solar,0.2076,0.3792,0.1355,0.0508,1.0,1
FERREIRA GOMES,AP,0.8705514933333333,-51.25111741999999,Solar,0.2075,0.3556,0.1726,0.0449,1.0,1
MIMOSO DO SUL,ES,-21.19861111,-41.37638889,H2 Verde,0.2075,0.3843,0.1234,0.056,1.0,1
CACHOEIRO DE ITAPEMIRIM,ES,-14.405143399999998,-28.46575418076923,H2 Verde,0.2072,0.3717,0.1393,0.0558,1.0,1
RIO NEGRINHO,SC,-26.363663029999998,-49.572277983999996,Biometano,0.2063,0.4144,0.1349,0.0002,0.625,1
VARGEM BONITA,SC,-20.219960305,-38.816928665,Eolica,0.2062,0.1389,0.1253,0.3768,0.875,1
VARGEM BONITA,SC,-20.219960305,-38.816928665,Solar,0.2062,0.1389,0.1253,0.3768,0.875,1
MONTE NEGRO,RO,-10.23041667,-63.23375,H2 Verde,0.206,0.3983,0.0872,0.0684,1.0,1
CORUMBIARA,RO,-12.852221369999999,-60.914763085000004,H2 Verde,0.2058,0.3902,0.0978,0.0681,1.0,1
DIANOPOLIS,TO,-11.617478574285714,-46.69291406142857,Solar,0.2055,0.3744,0.1187,0.0671,1.0,1
GAMELEIRA,PE,-8.59486233,-35.39068085,Solar,0.2054,0.4145,0.0308,0.1013,1.0,1
FRAIBURGO,SC,-27.05801717,-50.82393228,Biometano,0.2049,0.4144,0.1304,0.0003,0.625,1
NATIVIDADE,TO,-11.37138889,-47.57555556,Solar,0.2047,0.3694,0.1302,0.0596,1.0,1
BARRA DO GARCAS,MT,-15.888963753333334,-52.26541379666667,Solar,0.2041,0.2408,0.1928,0.1663,1.0,1
WANDERLANDIA,TO,-6.78194444,-48.15083333,Solar,0.2035,0.3694,0.1262,0.0597,1.0,1
AREIA DE BARAUNAS,PB,-7.0404878375,-36.954559745,Solar,0.2035,0.3816,0.1152,0.0544,1.0,1
OURO,SC,-27.35093889,-51.64692222,Biometano,0.2032,0.4144,0.1249,0.0,0.625,1
CAPAO ALTO,SC,-9.339348146666667,-16.91531111,Biometano,0.2032,0.4144,0.1248,0.0,0.625,1
NOVA BRASILANDIA D'OESTE,RO,-11.6185486,-62.17280272,H2 Verde,0.2028,0.3979,0.0776,0.0678,1.0,1
SAO JOSE DO CERRITO,SC,-27.72758334,-50.56494446,Biometano,0.2022,0.4144,0.1213,0.0,0.625,1
TAGUATINGA,TO,-12.49893591,-46.355906185,Solar,0.2016,0.3696,0.1193,0.0599,1.0,1
PONTE ALTA DO BOM JESUS,TO,-11.953101495,-46.345898213750004,Solar,0.2014,0.3697,0.1184,0.0601,1.0,1
SANTA HELENA DE GOIAS,GO,-17.824742,-50.542153973333335,Solar,0.2013,0.2845,0.1525,0.1391,1.0,1
URUBURETAMA,CE,-3.61882966,-39.50631455,H2 Verde,0.2004,0.1204,0.1437,0.3637,0.875,1
PORTO DE MOZ,PA,-1.9818558352534967,-52.7025926925,H2 Verde,0.1999,0.2116,0.184,0.2,1.0,1
MATRIZ DE CAMARAGIBE,AL,-9.08527778,-35.57055556,Solar,0.1996,0.3664,0.1346,0.0421,1.0,1
VALPARAISO DE GOIAS,GO,-16.09352103,-47.98323016,Solar,0.1978,0.0991,0.2516,0.2756,0.875,1
VALPARAISO DE GOIAS,GO,-16.09352103,-47.98323016,Eolica,0.1978,0.0991,0.2516,0.2756,0.875,1
CHUPINGUAIA,RO,-9.86303,-48.77377729,H2 Verde,0.1974,0.3174,0.167,0.068,1.0,1
PARNAMIRIM,RN,-4.5359672515384615,-27.113109416153844,H2 Verde,0.1974,0.2388,0.204,0.1355,1.0,1
XAVANTINA,SC,-26.94483611,-52.26243611,Biometano,0.1973,0.4144,0.1052,0.0,0.625,1
ANGRA DOS REIS,RJ,-23.007203262,-44.409913556,Eolica,0.195,0.2259,0.1425,0.2064,0.875,1
MONTE DO CARMO,TO,-10.6988284,-47.79391384,Solar,0.1949,0.3702,0.0953,0.0609,1.0,1
MONTE ALEGRE DO PIAUI,PI,-9.44800539404762,-45.08909483071428,Eolica,0.1947,0.2585,0.1449,0.1593,1.0,1
SAO FELIX DO XINGU,PA,-6.64161422,-51.95748438,H2 Verde,0.1943,0.1442,0.0557,0.3998,0.875,1
BRASILIA,DF,-15.75964008125,-47.86952403541667,Solar,0.1942,0.2161,0.3579,0.0014,1.0,1
MARACANAU,CE,-3.22025749,-32.17052210166667,Biometano,0.194,0.3514,0.1779,0.0004,0.625,1
CONFRESA,MT,-10.65453607,-51.41867782,Solar,0.1925,0.0632,0.2246,0.3327,0.875,1
CONFRESA,MT,-10.65453607,-51.41867782,Eolica,0.1925,0.0632,0.2246,0.3327,0.875,1
TAPURAH,MT,-12.36721889,-56.29749905,Eolica,0.1917,0.0631,0.2221,0.3327,0.875,1
TAPURAH,MT,-12.36721889,-56.29749905,Solar,0.1917,0.0631,0.2221,0.3327,0.875,1
COSTA RICA,MS,-18.639603761666667,-53.08956966333333,Solar,0.1904,0.2,0.2415,0.1265,1.0,1
BELA VISTA DE GOIAS,GO,-16.978411660000003,-48.97331037666667,Solar,0.19,0.0994,0.2252,0.2756,0.875,1
BELA VISTA DE GOIAS,GO,-16.978411660000003,-48.97331037666667,Eolica,0.19,0.0994,0.2252,0.2756,0.875,1
SOBRAL,CE,-3.67339578,-40.21070670428571,Biometano,0.1896,0.3514,0.1635,0.0,0.625,1
GUARACIABA DO NORTE,CE,-1.1177536846666667,-10.940795537333333,Biometano,0.1887,0.3514,0.1606,0.0,0.625,1
VICOSA DO CEARA,CE,-3.4195653425,-41.19897062,Biometano,0.1885,0.3514,0.1599,0.0,0.625,1
PARAIPABA,CE,0.0,0.0,Biometano,0.1878,0.3514,0.1576,0.0,0.625,1
GOIANIA,GO,-16.674136127,-49.27562456766667,Biometano,0.1872,0.2973,0.2274,0.0001,0.625,1
CHAPADAO DO SUL,MS,-18.986951246,-52.658291973999994,Solar,0.187,0.1715,0.2688,0.1258,1.0,1
UNIAO,PI,-4.85472222,-42.88611111,Eolica,0.1866,0.1088,0.1582,0.3186,0.875,1
UNIAO,PI,-4.85472222,-42.88611111,Solar,0.1866,0.1088,0.1582,0.3186,0.875,1
MARTINOPOLE,CE,-3.0601805549999996,-40.735611115,Biometano,0.1863,0.3514,0.1525,0.0,0.625,1
TERESINA,PI,-3.682247088888889,-30.908533759999997,Biometano,0.1859,0.3243,0.1871,0.0003,0.625,1
SAO FELIX DO ARAGUAIA,MT,-11.63242544,-50.68594226,Eolica,0.1854,0.0631,0.2012,0.3327,0.875,1
SAO FELIX DO ARAGUAIA,MT,-11.63242544,-50.68594226,Solar,0.1854,0.0631,0.2012,0.3327,0.875,1
NEROPOLIS,GO,-16.40676859,-49.20953455,Eolica,0.1852,0.0992,0.2094,0.2756,0.875,1
NEROPOLIS,GO,-16.40676859,-49.20953455,Solar,0.1852,0.0992,0.2094,0.2756,0.875,1
RUSSAS,CE,-4.883582102857143,-37.992167738571425,Biometano,0.185,0.3514,0.1483,0.0,0.625,1
CARNAUBAL,CE,-4.14305973125,-40.99971064625,Biometano,0.1848,0.3514,0.1475,0.0,0.625,1
PALMEIRAS DE GOIAS,GO,-16.772928445,-49.921470055,Biometano,0.1846,0.2973,0.2188,0.0,0.625,1
GRANJA,CE,-3.1043673829032254,-40.7652912183871,Biometano,0.1845,0.3514,0.1465,0.0,0.625,1
PLANALTINA,GO,-15.17777778,-47.74222222,Solar,0.184,0.0991,0.2056,0.2756,0.875,1
PLANALTINA,GO,-15.17777778,-47.74222222,Eolica,0.184,0.0991,0.2056,0.2756,0.875,1
PRAINHA,PA,-2.123046234521531,-53.45422727528708,H2 Verde,0.1836,0.1684,0.1875,0.1999,1.0,1
IBICUITINGA,CE,-5.017227135185186,-38.617709383703705,Biometano,0.1835,0.3514,0.1433,0.0,0.625,1
VARZEA GRANDE,MT,-15.641521723333334,-56.127643041666666,Solar,0.1834,0.0634,0.194,0.3327,0.875,1
VARZEA GRANDE,MT,-15.641521723333334,-56.127643041666666,Eolica,0.1834,0.0634,0.194,0.3327,0.875,1
MINEIROS,GO,-17.5409927,-52.793089066666674,Biometano,0.1829,0.2973,0.2128,0.0003,0.625,1
JATAI,GO,-15.314135877142858,-44.33181417285714,Solar,0.1827,0.2089,0.1907,0.1399,1.0,1
VERA,MT,-12.394414585,-55.64611096,Eolica,0.1826,0.0638,0.1909,0.3327,0.875,1
MORADA NOVA,CE,-5.036186727777778,-38.36830833333333,Biometano,0.1816,0.3514,0.1367,0.0,0.625,1
LAVRAS DA MANGABEIRA,CE,-6.757320063333334,-38.846138271111116,Biometano,0.1814,0.3514,0.136,0.0,0.625,1
CUIABA,MT,-14.745772273859648,-53.123493155789475,Eolica,0.181,0.1707,0.2094,0.1665,1.0,1
MORRINHOS,GO,-17.781806093333334,-49.14020944333333,Solar,0.1809,0.0999,0.1942,0.2756,0.875,1
MORRINHOS,GO,-17.781806093333334,-49.14020944333333,Eolica,0.1809,0.0999,0.1942,0.2756,0.875,1
SAO PEDRO DO PIAUI,PI,-5.81818738,-42.78659719,Eolica,0.1807,0.1081,0.1394,0.3186,0.875,1
SAO PEDRO DO PIAUI,PI,-5.81818738,-42.78659719,Solar,0.1807,0.1081,0.1394,0.3186,0.875,1
ANAPOLIS,GO,-15.01014627,-44.86449995583334,Biometano,0.179,0.2973,0.2002,0.0001,0.625,1
ITABERAI,GO,-16.01497428,-49.800356165,Biometano,0.1788,0.2973,0.1994,0.0,0.625,1
PADRE BERNARDO,GO,-15.593935714285715,-48.519295237142856,Biometano,0.1785,0.2973,0.1985,0.0,0.625,1
CARUARU,PE,-8.28643585,-35.9676387325,Solar,0.1784,0.2215,0.198,0.1013,1.0,1
NOVA BANDEIRANTES,MT,-9.84295282,-57.8184758,Solar,0.1783,0.0632,0.1774,0.3327,0.875,1
SANTANA DO ARAGUAIA,PA,-9.3432816,-50.33387252,H2 Verde,0.1783,0.1447,0.0015,0.3998,0.875,1
NOVA BANDEIRANTES,MT,-9.84295282,-57.8184758,Eolica,0.1783,0.0632,0.1774,0.3327,0.875,1
ITUMBIARA,GO,-18.375659594285715,-49.342353824285716,Eolica,0.1777,0.1021,0.1808,0.2756,0.875,1
ITUMBIARA,GO,-18.375659594285715,-49.342353824285716,Solar,0.1777,0.1021,0.1808,0.2756,0.875,1
GOIANESIA,GO,-11.3787595525,-36.8462589775,Biometano,0.1773,0.2973,0.1945,0.0,0.625,1
LUIS CORREIA,PI,-3.10969396,-41.52849837181818,Biometano,0.1769,0.3243,0.1571,0.0,0.625,1
SAO JOSE DE RIBAMAR,MA,-2.58249952,-44.09554651,H2 Verde,0.1764,0.0838,0.2519,0.2244,0.875,1
PIRIPIRI,PI,-4.1733017672727275,-41.49008409272727,Biometano,0.176,0.3243,0.1541,0.0,0.625,1
BOM PRINCIPIO DO PIAUI,PI,-3.137298990454546,-41.56310239909091,Biometano,0.1755,0.3243,0.1526,0.0,0.625,1
PORTO ALEGRE DO NORTE,MT,-10.87797147,-51.63299291,Eolica,0.1755,0.0631,0.1683,0.3327,0.875,1
PORTO ALEGRE DO NORTE,MT,-10.87797147,-51.63299291,Solar,0.1755,0.0631,0.1683,0.3327,0.875,1
PIRENOPOLIS,GO,-15.85334195,-48.96252693,Eolica,0.175,0.0991,0.1758,0.2756,0.875,1
PIRENOPOLIS,GO,-15.85334195,-48.96252693,Solar,0.175,0.0991,0.1758,0.2756,0.875,1
QUIRINOPOLIS,GO,-18.505249206666665,-50.43753972333334,Eolica,0.1748,0.104,0.1686,0.2756,0.875,1
QUIRINOPOLIS,GO,-18.505249206666665,-50.43753972333334,Solar,0.1748,0.104,0.1686,0.2756,0.875,1
CRISTINO CASTRO,PI,-8.854027773333334,-44.17171296,Biometano,0.1748,0.3243,0.1503,0.0,0.625,1
FRONTEIRAS,PI,-6.95488898,-40.52030541,Solar,0.1745,0.1082,0.1185,0.3186,0.875,1
UMARI,CE,-6.617596825714286,-38.85094166571429,Biometano,0.1745,0.3514,0.1132,0.0,0.625,1
FRONTEIRAS,PI,-6.95488898,-40.52030541,Eolica,0.1745,0.1082,0.1185,0.3186,0.875,1
GILBUES,PI,-9.757057778,-45.461336666,Biometano,0.1744,0.3243,0.149,0.0,0.625,1
TURVELANDIA,GO,-17.969363225000002,-50.309155845,Solar,0.1739,0.101,0.1694,0.2756,0.875,1
TURVELANDIA,GO,-17.969363225000002,-50.309155845,Eolica,0.1739,0.101,0.1694,0.2756,0.875,1
BARRO ALTO,GO,-14.9791189925,-49.162670915625,Biometano,0.1737,0.2973,0.1826,0.0,0.625,1
BURITI DOS LOPES,PI,-3.146944446,-41.80285185333333,Biometano,0.1733,0.3243,0.1451,0.0,0.625,1
VILHENA,RO,-11.705205399166667,-55.23910252666667,H2 Verde,0.1732,0.2313,0.2002,0.0688,1.0,1
FORMOSA,GO,-15.52545,-47.37942222,Biometano,0.1727,0.2973,0.1791,0.0,0.625,1
GOIATUBA,GO,-17.989867643333334,-49.80449141666667,Solar,0.1723,0.1021,0.1627,0.2756,0.875,1
GOIATUBA,GO,-17.989867643333334,-49.80449141666667,Eolica,0.1723,0.1021,0.1627,0.2756,0.875,1
CAMPO MAIOR,PI,-4.7216690329629625,-42.04143991814814,Biometano,0.1723,0.3243,0.1418,0.0,0.625,1
PARAGOMINAS,PA,-3.142630463333333,-47.76063624666667,H2 Verde,0.1717,0.1584,0.1612,0.1999,1.0,1
MONTES CLAROS DE GOIAS,GO,-15.91443611,-51.50776389,Eolica,0.1717,0.102,0.1609,0.2756,0.875,1
URUACU,GO,-14.483819445,-49.08812361,Biometano,0.1714,0.2973,0.175,0.0,0.625,1
ITAPEMIRIM,ES,-20.900538335,-41.03465,H2 Verde,0.1711,0.2316,0.2065,0.0553,1.0,1
ALTO TAQUARI,MT,-17.88306639,-53.331690975,Solar,0.1709,0.1402,0.2153,0.1673,1.0,1
MIRASSOL D'OESTE,MT,-15.7044,-58.1253,Eolica,0.1708,0.0634,0.152,0.3327,0.875,1
MIRASSOL D'OESTE,MT,-15.7044,-58.1253,Solar,0.1708,0.0634,0.152,0.3327,0.875,1
SINOP,MT,-11.898010589090909,-55.55019654545454,Solar,0.1706,0.0839,0.2903,0.1666,1.0,1
ITAPACI,GO,-14.88542361,-49.5328472225,Biometano,0.1705,0.2973,0.1719,0.0,0.625,1
INOCENCIA,MS,-19.5742,-52.1025,Eolica,0.1704,0.1185,0.1605,0.2495,0.875,1
CARMO DO RIO VERDE,GO,-15.38205966,-49.72719455,Eolica,0.17,0.0995,0.1584,0.2756,0.875,1
CARMO DO RIO VERDE,GO,-15.38205966,-49.72719455,Solar,0.17,0.0995,0.1584,0.2756,0.875,1
PARNAGUA,PI,-10.69272778,-44.678480555,Biometano,0.1696,0.3243,0.1329,0.0,0.625,1
NOVA SANTA RITA,PI,-8.088028125,-42.05098993,Biometano,0.1688,0.3243,0.1303,0.0,0.625,1
