municipio,uf,lat,lon,fonte,score,eco_score,soc_score,env_score,rank
ACREUNA,GO,-17.65393059,-50.4769139,Solar,0.2151,0.4333,0.0001,0.1391,1
ACREUNA,GO,-17.65393059,-50.4769139,H2 Verde,0.2101,0.4209,0.0001,0.1391,2
ACREUNA,GO,-17.65393059,-50.4769139,Biomassa,0.1501,0.1866,0.0001,0.2513,3
ACREUNA,GO,-17.65393059,-50.4769139,Biometano,0.1151,0.0991,0.0001,0.2513,4
ACREUNA,GO,-17.65393059,-50.4769139,Eolica,0.0818,0.1,0.0001,0.1391,5
ACU,RN,-5.498486809310345,-37.02624152068965,H2 Verde,0.2725,0.4426,0.1277,0.1905,1
ACU,RN,-5.498486809310345,-37.02624152068965,Solar,0.2688,0.4332,0.1277,0.1905,2
ACU,RN,-5.498486809310345,-37.02624152068965,Eolica,0.2201,0.3115,0.1277,0.1905,3
ACU,RN,-5.498486809310345,-37.02624152068965,Biomassa,0.1988,0.1723,0.1277,0.3053,4
ACU,RN,-5.498486809310345,-37.02624152068965,Biometano,0.1551,0.0631,0.1277,0.3053,5
ACUCENA,MG,-19.00107167,-42.55934727666667,Solar,0.458,0.6711,0.1253,0.5066,1
ACUCENA,MG,-19.00107167,-42.55934727666667,H2 Verde,0.4082,0.5465,0.1253,0.5066,2
ACUCENA,MG,-19.00107167,-42.55934727666667,Biomassa,0.3332,0.5465,0.1253,0.2566,3
ACUCENA,MG,-19.00107167,-42.55934727666667,Eolica,0.3247,0.3378,0.1253,0.5066,4
ACUCENA,MG,-19.00107167,-42.55934727666667,Biometano,0.2479,0.3333,0.1253,0.2566,5
ADAMANTINA,SP,-21.58,-51.05472222,Biomassa,0.3011,0.565,0.0002,0.25,1
ADAMANTINA,SP,-21.58,-51.05472222,H2 Verde,0.2484,0.3338,0.0002,0.3828,2
ADAMANTINA,SP,-21.58,-51.05472222,Solar,0.2076,0.2317,0.0002,0.3828,3
ADAMANTINA,SP,-21.58,-51.05472222,Eolica,0.2076,0.2317,0.0002,0.3828,3
ADAMANTINA,SP,-21.58,-51.05472222,Biometano,0.1675,0.2312,0.0002,0.25,4
ADUSTINA,BA,-10.613155043999999,-37.98696028,Biomassa,0.2228,0.3695,0.0,0.25,1
ADUSTINA,BA,-10.613155043999999,-37.98696028,Eolica,0.2154,0.2259,0.0,0.4168,2
ADUSTINA,BA,-10.613155043999999,-37.98696028,Solar,0.2091,0.2102,0.0,0.4168,3
ADUSTINA,BA,-10.613155043999999,-37.98696028,H2 Verde,0.1888,0.1593,0.0,0.4168,4
ADUSTINA,BA,-10.613155043999999,-37.98696028,Biometano,0.1591,0.2102,0.0,0.25,5
AFONSO BEZERRA,RN,-5.409117,-36.492484,H2 Verde,0.2036,0.4066,0.0001,0.1366,1
AFONSO BEZERRA,RN,-5.409117,-36.492484,Solar,0.1999,0.3973,0.0001,0.1366,2
AFONSO BEZERRA,RN,-5.409117,-36.492484,Biomassa,0.1299,0.1363,0.0001,0.2513,3
AFONSO BEZERRA,RN,-5.409117,-36.492484,Biometano,0.1006,0.0631,0.0001,0.2513,4
AFONSO BEZERRA,RN,-5.409117,-36.492484,Eolica,0.0666,0.0639,0.0001,0.1366,5
AFRANIO,PI,-8.53761,-41.14887436,Biomassa,0.1356,0.1515,0.0,0.25,1
AFRANIO,PI,-8.53761,-41.14887436,Biometano,0.1182,0.1081,0.0,0.25,2
AFRANIO,PI,-8.53761,-41.14887436,Eolica,0.0922,0.1109,0.0,0.1593,3
AFRANIO,PI,-8.53761,-41.14887436,Solar,0.091,0.1081,0.0,0.1593,4
AFRANIO,PI,-8.53761,-41.14887436,H2 Verde,0.0652,0.0434,0.0,0.1593,5
AFUA,PA,-0.15667598,-50.38664855,Biomassa,0.1652,0.2255,0.0001,0.25,1
AFUA,PA,-0.15667598,-50.38664855,H2 Verde,0.1177,0.1444,0.0001,0.1999,2
AFUA,PA,-0.15667598,-50.38664855,Biometano,0.1075,0.0811,0.0001,0.25,3
AFUA,PA,-0.15667598,-50.38664855,Solar,0.0925,0.0813,0.0001,0.1999,4
AFUA,PA,-0.15667598,-50.38664855,Eolica,0.0925,0.0813,0.0001,0.1999,4
AGRESTINA,PE,-4.207998335,-17.97900139,Solar,0.1969,0.4153,0.0002,0.1025,1
AGRESTINA,PE,-4.207998335,-17.97900139,H2 Verde,0.1883,0.3937,0.0002,0.1025,2
AGRESTINA,PE,-4.207998335,-17.97900139,Biomassa,0.132,0.1415,0.0002,0.2513,3
AGRESTINA,PE,-4.207998335,-17.97900139,Biometano,0.1079,0.0811,0.0002,0.2513,4
AGRESTINA,PE,-4.207998335,-17.97900139,Eolica,0.0636,0.082,0.0002,0.1025,5
AGROLANDIA,SC,-27.47467223,-49.87641965,Solar,0.2452,0.4716,0.0002,0.1885,1
AGROLANDIA,SC,-27.47467223,-49.87641965,H2 Verde,0.2376,0.4524,0.0002,0.1885,2
AGROLANDIA,SC,-27.47467223,-49.87641965,Biomassa,0.178,0.2572,0.0002,0.2502,3
AGROLANDIA,SC,-27.47467223,-49.87641965,Biometano,0.1304,0.1381,0.0002,0.2502,4
AGROLANDIA,SC,-27.47467223,-49.87641965,Eolica,0.1119,0.1382,0.0002,0.1885,5
AGUA BOA,MT,-14.06616956,-52.28454386,Solar,0.2085,0.3964,0.0001,0.1663,1
AGUA BOA,MT,-14.06616956,-52.28454386,H2 Verde,0.1943,0.361,0.0001,0.1663,2
AGUA BOA,MT,-14.06616956,-52.28454386,Biomassa,0.1113,0.0907,0.0001,0.25,3
AGUA BOA,MT,-14.06616956,-52.28454386,Biometano,0.1003,0.0631,0.0001,0.25,4
AGUA BOA,MT,-14.06616956,-52.28454386,Eolica,0.0752,0.0631,0.0001,0.1663,5
AGUA CLARA,MS,-19.64226917285714,-52.91906608428571,Solar,0.2486,0.4266,0.1256,0.1341,1
AGUA CLARA,MS,-19.64226917285714,-52.91906608428571,H2 Verde,0.2291,0.378,0.1256,0.1341,2
AGUA CLARA,MS,-19.64226917285714,-52.91906608428571,Biomassa,0.1682,0.1318,0.1256,0.2593,3
AGUA CLARA,MS,-19.64226917285714,-52.91906608428571,Biometano,0.1503,0.0871,0.1256,0.2593,4
AGUA CLARA,MS,-19.64226917285714,-52.91906608428571,Eolica,0.1152,0.0933,0.1256,0.1341,5
AGUA DOCE,SC,-26.631266650714284,-51.79302041285714,Solar,0.3249,0.4767,0.2512,0.1962,1
AGUA DOCE,SC,-26.631266650714284,-51.79302041285714,H2 Verde,0.3172,0.4575,0.2512,0.1962,2
AGUA DOCE,SC,-26.631266650714284,-51.79302041285714,Biomassa,0.2576,0.2623,0.2512,0.2578,3
AGUA DOCE,SC,-26.631266650714284,-51.79302041285714,Biometano,0.208,0.1381,0.2512,0.2578,4
AGUA DOCE,SC,-26.631266650714284,-51.79302041285714,Eolica,0.1915,0.1433,0.2512,0.1962,5
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,Biomassa,0.1493,0.1857,0.0,0.25,1
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,Biometano,0.1146,0.0991,0.0,0.25,2
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,Eolica,0.0813,0.0998,0.0,0.1378,3
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,Solar,0.081,0.0991,0.0,0.1378,4
AGUA FRIA DE GOIAS,GO,-15.13377722,-48.01710833,H2 Verde,0.076,0.0866,0.0,0.1378,5
AGUAS DE CHAPECO,RS,-27.14,-53.04333333,Solar,0.3787,0.653,0.0001,0.3917,1
AGUAS DE CHAPECO,RS,-27.14,-53.04333333,H2 Verde,0.3232,0.5143,0.0001,0.3917,2
AGUAS DE CHAPECO,RS,-27.14,-53.04333333,Biomassa,0.2765,0.4752,0.0001,0.288,3
AGUAS DE CHAPECO,RS,-27.14,-53.04333333,Eolica,0.2454,0.3196,0.0001,0.3917,4
AGUAS DE CHAPECO,RS,-27.14,-53.04333333,Biometano,0.2041,0.2943,0.0001,0.288,5
AGUAS DE SANTA BARBARA,SP,-22.87413056,-49.21534167,H2 Verde,0.3818,0.667,0.0001,0.3832,1
AGUAS DE SANTA BARBARA,SP,-22.87413056,-49.21534167,Solar,0.3409,0.5649,0.0001,0.3832,2
AGUAS DE SANTA BARBARA,SP,-22.87413056,-49.21534167,Biomassa,0.3011,0.5649,0.0001,0.2505,3
AGUAS DE SANTA BARBARA,SP,-22.87413056,-49.21534167,Eolica,0.2076,0.2315,0.0001,0.3832,4
AGUAS DE SANTA BARBARA,SP,-22.87413056,-49.21534167,Biometano,0.1677,0.2312,0.0001,0.2505,5
